section id,recording id,timestamp [ns],detected marker IDs,tl x [px],tl y [px],tr x [px],tr y [px],br x [px],br y [px],bl x [px],bl y [px]
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909863880000,"""0;1;2;3;4;5;6;7;8;9""",368.272,382.338,1172.971,362.601,1208.161,914.04,351.981,923.208
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909897230000,"""0;1;2;3;4;5;6;7;8;9""",368.432,382.526,1173.026,362.766,1208.324,914.154,352.233,923.323
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909930570000,"""0;1;2;3;4;5;6;7;8;9""",368.836,382.978,1173.301,363.168,1208.575,914.468,352.74,923.789
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909963920000,"""0;1;2;3;4;5;6;7;8;9""",369.416,383.333,1173.653,363.614,1208.844,914.813,353.159,924.028
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909997260000,"""0;1;2;3;4;5;6;7;8;9""",369.972,383.514,1173.974,363.786,1209.159,914.846,353.587,924.092
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910030610000,"""0;1;2;3;4;5;6;7;8;9""",370.35,383.591,1174.225,363.881,1209.614,915.047,353.986,924.307
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910063950000,"""0;1;2;3;4;5;6;7;8;9""",370.691,383.835,1174.52,364.228,1209.872,915.177,354.143,924.328
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910097280000,"""0;1;2;3;4;5;6;7;8;9""",370.785,383.829,1174.618,364.205,1209.934,915.149,354.189,924.352
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910130630000,"""0;1;2;3;4;5;6;7;8;9""",370.758,383.981,1174.621,364.43,1209.915,915.444,354.19,924.622
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910163970000,"""0;1;2;3;4;5;6;7;8;9""",370.676,384.277,1174.56,364.796,1209.854,915.739,354.115,924.889
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910197320000,"""0;1;2;3;4;5;6;7;8;9""",370.58,384.521,1174.496,364.948,1209.804,915.93,353.994,925.058
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910230660000,"""0;1;2;3;4;5;6;7;8;9""",370.581,384.712,1174.516,365.229,1209.754,916.34,353.884,925.334
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946910264010000,"""0;1;2;3;4;5;6;7;8;9""",370.572,385.05,1174.55,365.649,1209.685,916.811,353.775,925.705
